,No,Tweet,Comment,Domain,Label
0,1,luhut minta beda karantina jabat dan orang biasa tak masalah,mention,Law,Uncorrelated
1,2,luhut minta beda karantina jabat dan orang biasa tak masalah,iya jabat kebal virus ya atau virus segan sama jabat emoji,Law,Contra Sarcasm
2,3,luhut minta beda karantina jabat dan orang biasa tak masalah,iya,Law,Pro
3,4,luhut minta beda karantina jabat dan orang biasa tak masalah,enak udel aja bikin atur,Law,Contra Sarcasm
4,5,luhut minta beda karantina jabat dan orang biasa tak masalah,mafia karantina harus segera usut,Law,Uncorrelated
5,6,luhut minta beda karantina jabat dan orang biasa tak masalah,perhaps the covid19 virus infection is different between the state officers and citizensemoji,Law,Contra Sarcasm
6,7,luhut minta beda karantina jabat dan orang biasa tak masalah,jabat di gaji dari orang biasa haha,Law,Uncorrelated
7,8,luhut minta beda karantina jabat dan orang biasa tak masalah,huut huut,Law,Uncorrelated
8,9,luhut minta beda karantina jabat dan orang biasa tak masalah,se7kalo ini bkan bicara kastamelainkan secure,Law,Pro
9,10,luhut minta beda karantina jabat dan orang biasa tak masalah,hail to jabat,Law,Uncorrelated
10,11,luhut minta beda karantina jabat dan orang biasa tak masalah,suka2 lo dah emoji,Law,Neutral
11,12,luhut minta beda karantina jabat dan orang biasa tak masalah,ga paham lagi,Law,Neutral
12,13,luhut minta beda karantina jabat dan orang biasa tak masalah,pantes ada pulau pingin cerai,Law,Uncorrelated
13,14,luhut minta beda karantina jabat dan orang biasa tak masalah,ga relevan bener kata2nya sm berita ini bgmn kalau jabat yg bawa masuk virus,Law,Contra
14,15,luhut minta beda karantina jabat dan orang biasa tak masalah,yg masalah kalian para jabat klo gak masalah knpa harus di beda logika dipake,Law,Contra
15,16,luhut minta beda karantina jabat dan orang biasa tak masalah,hukum akhir beda kasta,Law,Contra Sarcasm
16,17,luhut minta beda karantina jabat dan orang biasa tak masalah,dia bilang pancasila tapi masih senang bedabedakan emoji,Law,Contra
17,18,luhut minta beda karantina jabat dan orang biasa tak masalah,emang nya jabat bukan orgknp hrs ada sebut org biasaoalllah sombong kali,Law,Contra
18,19,luhut minta beda karantina jabat dan orang biasa tak masalah,sayang virus gak kenal kasta opung,Law,Contra
